Rank,Previous_Rank,Model,Provider,None_Score,None_Trials,None_Risks,ABJ_Score,ABJ_Trials,ABJ_Risks,Adaptive_Score,Adaptive_Trials,Adaptive_Risks,ArtPrompt_Score,ArtPrompt_Trials,ArtPrompt_Risks,AutoDAN_Score,AutoDAN_Trials,AutoDAN_Risks,Cipher_Score,Cipher_Trials,Cipher_Risks,DAN_Score,DAN_Trials,DAN_Risks,DeepInception_Score,DeepInception_Trials,DeepInception_Risks,Developer_Score,Developer_Trials,Developer_Risks,DRA_Score,DRA_Trials,DRA_Risks,DrAttack_Score,DrAttack_Trials,DrAttack_Risks,GCG_Score,GCG_Trials,GCG_Risks,GPTFuzzer_Score,GPTFuzzer_Trials,GPTFuzzer_Risks,Grandmother_Score,Grandmother_Trials,Grandmother_Risks,Masterkey_Score,Masterkey_Trials,Masterkey_Risks,Multilingual_Score,Multilingual_Trials,Multilingual_Risks,PAIR_Score,PAIR_Trials,PAIR_Risks,PastTense_Score,PastTense_Trials,PastTense_Risks,Psychology_Score,Psychology_Trials,Psychology_Risks,ReNeLLM_Score,ReNeLLM_Trials,ReNeLLM_Risks,TAP_Score,TAP_Trials,TAP_Risks,Overall_Score,Overall_Trials,Overall_Risks,Release_Date,Model_Size
85,75,OpenAI/gpt-4-0314,OpenAI,64.06,1968,669,9.91,232,209,8.58,232,212,35.62,232,149,43.78,232,130,10.73,232,207,52.16,232,111,25.61,232,171,81.9,232,42,12.13,232,200,31.33,232,159,74.68,232,58,64.66,232,78,0.0,0,0,93.53,232,15,89.66,232,24,80.26,232,45,95.69,232,10,93.97,232,14,23.93,232,176,71.67,232,65,46.09,6376,2744,2023-03-14,
86,76,Qwen/Qwen2.5-0.5B-Instruct,Qwen,75.06,272,64,11.71,232,199,4.45,232,213,59.99,232,91,48.15,232,108,93.13,232,15,47.45,232,119,23.24,232,173,92.67,232,17,12.81,232,175,32.2,232,151,61.16,232,81,38.57,232,125,80.76,232,43,67.81,232,74,86.92,232,25,76.76,232,50,98.28,232,4,61.45,232,85,23.84,232,170,66.08,232,76,44.05,4912,2058,2024-09-19,0.5B
87,77,01-ai/Yi-6B-Chat,01-ai,46.25,1427,761,9.32,232,210,8.78,232,208,36.01,232,141,42.34,232,126,60.51,232,91,73.18,232,60,13.26,232,200,80.69,232,44,4.87,232,212,69.47,232,68,74.88,232,56,31.84,232,150,81.33,232,40,94.4,232,13,61.35,232,74,72.1,232,64,97.84,232,5,92.24,232,18,23.35,232,173,67.72,232,70,43.36,6067,2784,2024-01-23,6B
88,78,CohereForAI/aya-23-8B,CohereForAI,61.77,127,46,28.35,127,91,14.73,127,108,25.37,127,94,55.12,127,57,22.05,127,99,14.96,127,108,39.06,127,77,28.35,127,91,11.59,127,106,40.17,116,69,71.09,127,36,22.27,116,89,60.63,127,50,78.74,127,27,72.27,127,33,87.4,127,16,87.7,127,12,64.84,127,44,28.33,119,85,82.68,127,22,41.88,2637,1360,2024-05-23,8B
89,79,CohereForAI/aya-23-35B,CohereForAI,61.71,127,48,19.69,127,102,17.19,127,105,39.56,127,72,48.03,127,66,11.81,127,112,16.28,127,106,38.58,127,78,25.2,127,95,10.07,127,113,30.17,116,81,75.59,127,31,32.75,116,77,56.69,127,55,83.59,127,20,74.21,127,32,85.04,127,19,89.26,127,9,79.53,127,26,30.25,119,83,83.46,127,21,41.73,2637,1351,2024-05-23,35B
90,80,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,41.18,127,73,19.53,127,102,30.1,152,87,61.6,127,35,82.36,127,19,27.09,127,89,31.92,127,83,66.89,127,40,15.25,127,107,17.74,127,74,49.94,116,56,25.39,127,92,38.26,116,64,39.14,127,68,25.3,127,93,44.6,127,61,63.69,127,31,34.37,127,55,49.74,127,56,51.52,119,55,60.61,127,33,40.6,2662,1373,2025-01-20,1.5B
91,81,01-ai/Yi-1.5-9B-Chat,01-ai,85.17,272,36,12.93,232,202,3.39,232,224,39.24,232,136,61.64,232,89,27.35,232,168,9.83,232,209,21.98,232,181,53.06,232,96,11.75,232,198,23.6,232,177,67.95,232,68,27.14,232,165,74.68,232,58,86.18,232,24,47.63,232,116,77.34,232,51,93.1,232,16,75.54,232,56,27.04,232,164,76.82,232,53,39.36,4912,2487,2024-05-13,9B
92,82,baichuan-inc/Baichuan2-13B-Chat,baichuan-inc,66.35,299,76,21.41,232,181,5.41,232,219,26.46,232,143,26.49,232,140,63.8,232,78,25.61,232,171,15.33,232,195,59.54,232,87,21.14,232,160,48.42,232,113,45.29,232,107,54.31,232,88,76.25,232,52,34.67,348,227,53.07,232,84,67.18,232,72,88.5,232,24,85.41,232,33,19.04,232,182,66.52,232,70,38.94,5055,2502,2023-09-06,13B
93,83,mistralai/Mistral-Small-Instruct-2409,mistralai,74.72,272,68,6.9,232,216,2.59,232,226,44.63,232,128,47.86,232,120,11.21,232,206,6.47,232,217,21.46,232,182,16.81,232,193,3.27,232,222,28.02,232,167,63.68,232,81,33.9,232,153,65.23,232,80,88.36,232,27,78.45,232,50,81.11,232,43,95.69,232,10,78.45,232,50,25.0,232,174,80.17,232,46,37.29,4912,2659,2024-02-26,
94,84,mistralai/Mistral-7B-Instruct-v0.2,mistralai,40.2,1229,728,7.66,232,214,4.77,232,220,54.74,232,105,42.49,232,133,6.03,232,218,12.07,232,204,19.83,232,186,24.57,232,175,1.49,232,228,40.73,464,275,29.13,232,162,32.61,232,154,63.52,232,84,78.02,232,51,60.25,232,91,65.95,232,79,97.41,232,6,79.74,232,47,32.62,232,156,67.38,232,75,36.92,6101,3591,2024-01-30,7B
95,85,mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,24.21,2016,1515,10.17,232,208,2.78,261,253,34.43,232,147,48.71,232,119,9.87,232,209,39.22,232,141,15.74,232,195,57.51,232,98,4.66,232,220,29.06,232,164,61.21,232,90,57.94,232,97,79.31,232,48,87.07,348,45,64.22,232,83,75.54,232,56,95.26,232,11,91.81,232,19,46.61,232,121,71.24,232,66,36.77,6801,3905,2023-12-11,7B
96,86,mistralai/Mistral-7B-Instruct-v0.3,mistralai,61.03,272,106,8.12,232,213,6.03,232,218,25.53,232,172,47.01,232,122,3.45,232,224,20.26,232,185,25.43,232,173,23.71,232,177,2.05,232,226,31.19,232,159,37.87,232,141,23.62,232,176,70.69,232,68,71.55,232,66,63.12,232,81,79.05,232,47,84.05,232,37,80.6,232,45,23.41,232,176,78.02,232,51,34.69,4912,2863,2024-05-22,7B
97,87,baichuan-inc/Baichuan2-7B-Chat,baichuan-inc,46.17,299,145,35.04,232,150,11.5,232,198,13.79,232,199,35.97,232,122,20.16,232,182,13.96,232,198,10.84,232,205,37.72,232,138,10.03,232,178,11.74,232,183,23.35,232,171,45.94,232,117,71.8,232,61,47.86,232,120,58.18,232,89,74.25,232,59,84.05,232,37,72.33,232,62,24.07,232,153,62.12,232,86,33.17,4939,2853,2023-09-06,7B
98,88,hydroxai/zephyr-reproduction-sft-full,hydroxai,13.95,1264,1033,21.74,232,142,1.08,232,225,100.0,232,0,29.76,232,128,82.11,232,39,81.53,232,25,100.0,232,0,95.72,232,8,0.64,232,217,14.27,232,192,0.6,232,225,94.04,232,10,45.86,232,100,5.26,232,216,16.84,232,175,98.71,232,2,63.22,232,66,91.92,232,15,10.24,232,174,95.3,232,8,30.76,5904,3000,,
99,89,ibm-granite/granite-7b-instruct,ibm-granite,60.33,272,99,7.94,232,213,3.14,232,220,47.24,232,120,37.53,232,131,34.8,232,148,9.71,232,207,13.71,232,198,17.98,232,188,14.16,232,169,27.51,232,165,36.09,232,127,32.75,232,146,63.96,232,79,17.98,232,188,31.38,232,129,69.23,232,70,91.1,232,16,67.81,232,74,16.0,232,190,68.24,232,73,29.99,4912,2950,2024-05-06,7B
100,90,hydroxai/hydro-safe-zephyr-dpo,hydroxai,40.22,272,148,21.13,232,167,0.0,232,232,77.23,232,35,43.31,232,121,50.68,232,108,20.18,232,181,9.23,232,209,71.48,232,64,4.82,232,188,22.16,232,179,1.18,232,220,63.68,232,81,44.23,232,117,9.99,232,208,14.66,232,183,83.08,232,35,83.43,232,26,83.28,232,31,11.56,232,198,79.19,232,40,28.65,4912,2771,,
